category,subCategory,detailCategoryFull,detailCategory,detailCategory2,compositeKeyOmnix,compositeKey,fcrNonSatuan,escToSatuan,fcrNonMassal,escToMassal,isFcr,product
Permintaan,INDIHOME IPTV,Permintaan|INDIHOME IPTV|Reset Password IPTV,Reset Password IPTV,,Permintaan|INDIHOME IPTV|Reset Password IPTV,INDIHOME IPTV|Reset Password IPTV,FCR,Tenesa/Product,FCR,Tenesa/Product,true,SOLUTION
Permintaan,INDIHOME IPTV,Permintaan|INDIHOME IPTV|Berhenti Berlangganan IPTV,Berhenti Berlangganan IPTV,,Permintaan|INDIHOME IPTV|Berhenti Berlangganan IPTV,INDIHOME IPTV|Berhenti Berlangganan IPTV,FCR,Tenesa/Product,FCR,Tenesa/Product,true,SOLUTION
Komplain,INDIHOME IPTV,Komplain|INDIHOME IPTV|Tidak terima SMS OTP,Tidak terima SMS OTP,,Komplain|INDIHOME IPTV|Tidak terima SMS OTP,INDIHOME IPTV|Tidak terima SMS OTP,NON FCR,IT SLCS,NON FCR,IT SLCS,false,SOLUTION
Komplain,INDIHOME IPTV,Komplain|INDIHOME IPTV|TVOD tidak muncul,TVOD tidak muncul,,Komplain|INDIHOME IPTV|TVOD tidak muncul,INDIHOME IPTV|TVOD tidak muncul,NON FCR,IT SLCS,NON FCR,IT SLCS,false,SOLUTION
"Komplain",INDIHOME IPTV,"Komplain|INDIHOME IPTV|Code error 1302 (loading 80%)","Code error 1302 (loading 80%)",,Komplain|INDIHOME IPTV|Code error 1302,INDIHOME IPTV|Code error 1302,NON FCR,IT SLCS,NON FCR,IT SLCS,false,SOLUTION
Komplain,INDIHOME IPTV,Komplain|INDIHOME IPTV|Tidak bisa akses Tambah Channel TV,Tidak bisa akses Tambah Channel TV,,Komplain|INDIHOME IPTV|Tidak bisa akses Tambah Channel TV,INDIHOME IPTV|Tidak bisa akses Tambah Channel TV,NON FCR,IT SLCS,NON FCR,IT SLCS,false,SOLUTION
Komplain,INDIHOME IPTV,Komplain|INDIHOME IPTV|Channel TV Tidak tersedia,Channel TV Tidak tersedia,,Komplain|INDIHOME IPTV|Channel TV Tidak tersedia,INDIHOME IPTV|Channel TV Tidak tersedia,NON FCR,IT SLCS,NON FCR,IT SLCS,false,SOLUTION
Komplain,INDIHOME IPTV,Komplain|INDIHOME IPTV|Tidak bisa akses Youtube,Tidak bisa akses Youtube,,Komplain|INDIHOME IPTV|Tidak bisa akses Youtube,INDIHOME IPTV|Tidak bisa akses Youtube,NON FCR,IT SLCS,NON FCR,IT SLCS,false,SOLUTION
Komplain,INDIHOME IPTV,Komplain|INDIHOME IPTV|User IHID Tidak terdaftar,User IHID Tidak terdaftar,,Komplain|INDIHOME IPTV|User IHID Tidak terdaftar,INDIHOME IPTV|User IHID Tidak terdaftar,NON FCR,IT SLCS,NON FCR,IT SLCS,false,SOLUTION
Komplain,INDIHOME IPTV,Komplain|INDIHOME IPTV|STB Tidak bisa digunakan,STB Tidak bisa digunakan,,Komplain|INDIHOME IPTV|STB Tidak bisa digunakan,INDIHOME IPTV|STB Tidak bisa digunakan,NON FCR,IT SLCS,NON FCR,IT SLCS,false,SOLUTION
Komplain,INDIHOME IPTV,Komplain|INDIHOME IPTV|UseeTV Tidak bisa digunakan,UseeTV Tidak bisa digunakan,,Komplain|INDIHOME IPTV|UseeTV Tidak bisa digunakan,INDIHOME IPTV|UseeTV Tidak bisa digunakan,NON FCR,IT SLCS,NON FCR,IT SLCS,false,SOLUTION
"Komplain",INDIHOME IPTV,"Komplain|INDIHOME IPTV|Live TV Tidak tersedia 4514","Live TV Tidak tersedia 4514",,Komplain|INDIHOME IPTV|Live TV Tidak tersedia 4514,INDIHOME IPTV|Live TV Tidak tersedia 4514,NON FCR,IT SLCS,NON FCR,IT SLCS,false,SOLUTION
"Komplain",INDIHOME IPTV,"Komplain|INDIHOME IPTV|IPTV Code Error Failed 80108202","IPTV Code Error Failed 80108202",,Komplain|INDIHOME IPTV|IPTV Code Error Failed 80108202,INDIHOME IPTV|IPTV Code Error Failed 80108202,NON FCR,IT SLCS,NON FCR,IT SLCS,false,SOLUTION
"Komplain",INDIHOME IPTV,"Komplain|INDIHOME IPTV|Akun Anda Terisolir code 70116107","Akun Anda Terisolir code 70116107",,Komplain|INDIHOME IPTV|Akun Anda Terisolir code 70116107,INDIHOME IPTV|Akun Anda Terisolir code 70116107,NON FCR,IT SLCS,NON FCR,IT SLCS,false,SOLUTION
Komplain,INDIHOME IPTV,Komplain|INDIHOME IPTV|STB IPTV Tidak mendapatkan IP sesuai,STB IPTV Tidak mendapatkan IP sesuai,,Komplain|INDIHOME IPTV|STB IPTV Tidak mendapatkan IP sesuai,INDIHOME IPTV|STB IPTV Tidak mendapatkan IP sesuai,NON FCR,IT SLCS,NON FCR,IT SLCS,false,SOLUTION
"Komplain",INDIHOME IPTV,"Komplain|INDIHOME IPTV|IPTV Tidak tersedia Code 70116101","IPTV Tidak tersedia Code 70116101",,Komplain|INDIHOME IPTV|IPTV Tidak tersedia Code 70116101,INDIHOME IPTV|IPTV Tidak tersedia Code 70116101,NON FCR,IT SLCS,NON FCR,IT SLCS,false,SOLUTION
Komplain,INDIHOME IPTV,Komplain|INDIHOME IPTV|Sudah payment Status Suspend pada ACS,Sudah payment Status Suspend pada ACS,,Komplain|INDIHOME IPTV|Sudah payment Status Suspend pada ACS,INDIHOME IPTV|Sudah payment Status Suspend pada ACS,NON FCR,IT SLCS,NON FCR,IT SLCS,false,SOLUTION
Komplain,INDIHOME IPTV,Komplain|INDIHOME IPTV|Channel SPOTV Tidak dapat di akses,Channel SPOTV Tidak dapat di akses,,Komplain|INDIHOME IPTV|Channel SPOTV Tidak dapat di akses,INDIHOME IPTV|Channel SPOTV Tidak dapat di akses,NON FCR,IT SLCS,NON FCR,IT SLCS,false,SOLUTION
"Komplain",INDIHOME IPTV,"Komplain|INDIHOME IPTV|Gagal login STB IPTV Code 70116204","Gagal login STB IPTV Code 70116204",,Komplain|INDIHOME IPTV|Gagal login STB IPTV Code 70116204,INDIHOME IPTV|Gagal login STB IPTV Code 70116204,NON FCR,IT SLCS,NON FCR,IT SLCS,false,SOLUTION
"Komplain",INDIHOME IPTV,"Komplain|INDIHOME IPTV|Gagal login Authentification failed 70116206","Gagal login Authentification failed 70116206",,Komplain|INDIHOME IPTV|Gagal login Authentification failed 70116206,INDIHOME IPTV|Gagal login Authentification failed 70116206,NON FCR,IT SLCS,NON FCR,IT SLCS,false,SOLUTION
Komplain,INDIHOME IPTV,Komplain|INDIHOME IPTV|Channel is not included in your subscription,Channel is not included in your subscription,,Komplain|INDIHOME IPTV|Channel is not included in your subscription,INDIHOME IPTV|Channel is not included in your subscription,NON FCR,IT SLCS,NON FCR,IT SLCS,false,SOLUTION
